source,event_time_raw,event_time_utc,event_time_epoch_ms,incident_type,location
fire,09/01/2026 12:50,2026-09-01T16:50:00Z,1788281400000,FIREALARM,1900 PHILADELPHIA AVE SE
fire,09/01/2026 12:55,2026-09-01T16:55:00Z,1788281700000,MED1,0 DELAWARE ST SW
police,09/01/2026 12:55,2026-09-01T16:55:00Z,1788281700000,DOMA,1100 PLYMOUTH AVE NE
police,09/01/2026 12:56,2026-09-01T16:56:00Z,1788281760000,DOM,2700 EAST BELTLINE AVE SE
police,09/01/2026 12:59,2026-09-01T16:59:00Z,1788281940000,SUICIDEAT,FULLER AVE NE / MICHIGAN ST NE
fire,09/01/2026 13:01,2026-09-01T17:01:00Z,1788282060000,MED2,FULLER AVE NE / MICHIGAN ST NE
police,09/01/2026 13:04,2026-09-01T17:04:00Z,1788282240000,THREAT,0 ALBANY ST SW
police,09/01/2026 13:15,2026-09-01T17:15:00Z,1788282900000,TRES,100 ANTOINE ST SW
police,09/01/2026 13:21,2026-09-01T17:21:00Z,1788283260000,WELFARE,0 DELAWARE ST SW
police,09/01/2026 13:28,2026-09-01T17:28:00Z,1788283680000,TRES,300 ANN ST NW
police,09/01/2026 13:29,2026-09-01T17:29:00Z,1788283740000,WELFARE,1300 FULLER AVE NE
fire,09/01/2026 13:35,2026-09-01T17:35:00Z,1788284100000,FIREALARM,0 MARYLAND AVE NE
fire,09/01/2026 13:41,2026-09-01T17:41:00Z,1788284460000,CARBON,600 COLLINDALE AVE NW
police,09/01/2026 13:44,2026-09-01T17:44:00Z,1788284640000,DOM,1100 OAKDALE ST SE
fire,09/01/2026 13:48,2026-09-01T17:48:00Z,1788284880000,FIREALARM,1000 SIGSBEE ST SE
police,09/01/2026 13:49,2026-09-01T17:49:00Z,1788284940000,FI,2300 STAFFORD AVE SW
fire,09/01/2026 13:52,2026-09-01T17:52:00Z,1788285120000,MED2,0 QUIMBY ST NE
fire,09/01/2026 13:55,2026-09-01T17:55:00Z,1788285300000,MED1,900 EDNA ST SE
fire,09/01/2026 13:56,2026-09-01T17:56:00Z,1788285360000,FIREALARM,900 9TH ST NW
fire,09/01/2026 13:57,2026-09-01T17:57:00Z,1788285420000,MED2,2500 S DIVISION AVE
police,09/01/2026 13:57,2026-09-01T17:57:00Z,1788285420000,PARKING,2200 NELSON AVE SE
police,09/01/2026 13:57,2026-09-01T17:57:00Z,1788285420000,PARKING,400 LAFAYETTE AVE SE
fire,09/01/2026 13:58,2026-09-01T17:58:00Z,1788285480000,FIREALARM,500 COLLEGE AVE NE
police,09/01/2026 14:08,2026-09-01T18:08:00Z,1788286080000,ASLT,100 MICHIGAN ST NE
fire,09/01/2026 14:10,2026-09-01T18:10:00Z,1788286200000,FIREALARM,500 CLOVER RIDGE AVE NW
police,09/01/2026 14:14,2026-09-01T18:14:00Z,1788286440000,SUSPICIOUS,4100 OAK PARK DR SE
fire,09/01/2026 14:16,2026-09-01T18:16:00Z,1788286560000,MED1,300 COMMERCE AVE SW
fire,09/01/2026 14:28,2026-09-01T18:28:00Z,1788287280000,MED2,400 WASHINGTON ST SE
police,09/01/2026 14:31,2026-09-01T18:31:00Z,1788287460000,WELFARE,0 GROVE ST NE
